Date_dissected	Family	ID	Sample	Sex	Condition	Larval_diet	Femur_length	Tibia_Length	Tarsus_Length	Wing_Length	HeadWidth	HeadLength	Post-pedicel_Length	Arista_Length	Thorax_Length	Female_Oviscape	Female_posterior_spermathecae1	Female_posterior_spermathecae2	Female_Anterior_Spermatheca_Width	Male_Proximal_surstyli_Length	Male_Distal_surstyli_Length	Male_Apodeme_Length	Male_Aedeagus_Length	Male_Anterior_processus_Length	Male_Processus_Length	Male_testis_area	MaleSperm_bundle_Length	Male_Femur_spine_length
08/11/2018	F4	MS-80	F4_M8_RW2	M	Low	Poor	4.004	4.081	3.06	3.275	1.191	1.694	0.571	0.967	2.254	NA	NA	NA	NA	0.159	0.29	1.068	1.1303	0.172	1.736	0.231	0.162333333	0.0435
24/10/2018	F6	FS-36	F6_F1_RW1	F	Low	Poor	3.599	2.88	1.983	2.93	1.012	1.363	0.432	0.965	1.859	1.765	0.078	0.062	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F6	FS-36	F6_F1_RW2	F	Low	Poor	3.582	2.921	2.022	2.902	1.008	1.353	0.427	0.97	1.872	1.766	0.079	0.066	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F6	FS-37	F6_F2_RW1	F	Low	Poor	3.56	3.021	2.107	2.958	1.068	1.358	0.429	0.881	1.676	1.653	0.086	0.077	0.061	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F6	FS-37	F6_F2_RW2	F	Low	Poor	3.557	3.021	2.103	2.972	1.062	1.361	0.437	0.881	1.694	1.663	0.082	0.077	0.063	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-45	F6_F3_RW1	F	High	Rich	5.254	4.35	NA	4.1	1.411	1.958	0.582	1.192	2.714	2.055	0.063	0.064	0.073	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-45	F6_F3_RW2	F	High	Rich	5.258	4.295	NA	4.107	1.421	1.949	0.606	1.19	2.755	2.063	0.062	0.061	0.074	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-46	F6_F4_RW1	F	High	Rich	5.094	4.396	2.808	4.015	1.437	1.91	0.572	1.138	2.634	2.068	0.079	0.078	0.079	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-46	F6_F4_RW2	F	High	Rich	5.133	4.395	2.787	4.005	1.444	1.905	0.595	1.136	2.62	2.113	0.079	0.078	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-47	F6_F5_RW1	F	High	Rich	4.976	4.444	2.893	3.75	1.414	1.963	0.571	1.123	2.668	2.127	0.078	0.079	0.071	NA	NA	NA	NA	NA	NA	NA	NA	NA
30/10/2018	F6	FS-47	F6_F5_RW2	F	High	Rich	4.99	4.457	2.895	3.756	1.404	1.935	0.584	1.122	2.668	2.147	0.077	0.078	0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA
31/10/2018	F6	FS-48	F6_F6_RW1	F	Low	Poor	3.405	2.816	1.925	2.876	0.929	1.415	0.451	0.917	1.802	1.855	0.074	0.088	0.056	NA	NA	NA	NA	NA	NA	NA	NA	NA
31/10/2018	F6	FS-48	F6_F6_RW2	F	Low	Poor	3.419	2.803	1.964	2.873	0.928	1.409	0.46	0.931	1.818	1.824	0.076	0.085	0.056	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/11/2018	F6	FS-49	F6_F7_RW1	F	Low	Poor	3.222	2.845	1.925	2.743	0.946	1.237	0.403	0.874	1.699	1.582	0.065	0.082	0.058	NA	NA	NA	NA	NA	NA	NA	NA	NA
01/11/2018	F6	FS-49	F6_F7_RW2	F	Low	Poor	3.208	2.86	1.938	2.751	0.937	1.251	0.392	0.872	1.71	1.582	0.067	0.08	0.058	NA	NA	NA	NA	NA	NA	NA	NA	NA
24/10/2018	F6	MS-48	F6_M1_RW1	M	Low	Poor	3.081	3.242	2.435	2.817	1.009	1.422	0.437	0.892	1.652	NA	NA	NA	NA	0.154	0.255	0.995	1.054	0.171	1.786	0.113	0.166666667	0.037333333
24/10/2018	F6	MS-48	F6_M1_RW2	M	Low	Poor	3.109	3.239	2.432	2.793	1.008	1.412	0.431	0.889	1.667	NA	NA	NA	NA	0.158	0.252	1.004	1.057	0.179	1.727	0.112	0.163166667	0.0375
24/10/2018	F6	MS-49	F6_M2_RW1	M	High	Rich	6.449	6.289	4.452	4.481	1.585	2.918	0.794	1.255	3.155	NA	NA	NA	NA	0.18	0.253	1.146	1.131	0.176	2.167	0.416	0.151833333	0.062833333
24/10/2018	F6	MS-49	F6_M2_RW2	M	High	Rich	6.441	6.281	4.498	4.464	1.586	2.929	0.783	1.229	3.162	NA	NA	NA	NA	0.173	0.252	1.155	1.132	0.177	2.27	0.406	0.154833333	0.065166667
25/10/2018	F6	MS-50	F6_M3_RW1	M	High	Rich	6.815	6.498	4.544	4.553	1.622	2.872	0.828	1.285	3.094	NA	NA	NA	NA	0.183	0.332	1.083	1.198	0.184	NA	0.423	0.1565	0.0695
25/10/2018	F6	MS-50	F6_M3_RW2	M	High	Rich	6.838	6.451	4.532	4.591	1.627	2.847	0.828	1.276	3.113	NA	NA	NA	NA	0.18	0.336	1.085	1.205	0.182	NA	0.419	0.154666667	0.0655
31/10/2018	F6	MS-60	F6_M4_RW1	M	High	Rich	6.148	5.837	4.314	4.274	1.535	2.795	0.783	1.072	2.997	NA	NA	NA	NA	0.184	0.328	1.135	1.108	0.18	1.87	0.453	0.1655	0.072833333
31/10/2018	F6	MS-60	F6_M4_RW2	M	High	Rich	6.121	5.89	4.276	4.277	1.519	2.793	0.774	1.066	3.005	NA	NA	NA	NA	0.18	0.339	1.143	1.11	0.181	1.87	0.455	0.1615	0.074166667
