Year	LD(in_AprilDays)	ClutchsizeAge7	IDFemale
2017	14	8	A1001026
2017	5	NA	A1001027
2017	32	7	A1001028
2017	13	10	A1001029
2017	9	NA	A1001030
2017	9	10	A1001031
2017	7	10	A1001032
2017	27	6	A1001033
2017	4	11	A1001034
2017	15	8	A1001035
2017	22	8	A1001036
2017	19	NA	A1001037
2017	12	NA	A1001038
2017	11	NA	A1001039
2017	25	4	A1001040
2017	14	7	A1001041
2017	14	NA	A1001042
2017	21	NA	A1001043
2017	24	5	A1001044
2017	13	8	A1001045
2017	43	NA	A1001046
2002	7	9	P322402
2003	16	11	P322402
2003	19	8	P322402
2013	27	NA	P322402
2005	23	6	P332402
2004	26	8	P981974
2005	17	9	P981974
2007	13	11	P981974
2004	24	10	P981975
2007	8	11	P981994
2002	3	10	R046108
2016	17	NA	R046109
2003	19	10	R046155
2003	26	9	R046160
2004	28	9	R046160
2004	24	10	R046160
2004	29	9	R046170
2003	27	7	R046192
2017	13	5	R046192
2005	25	7	R186541
2007	17	8	R186541
2002	21	4	R186901
2008	25	9	R186901
2002	11	12	R186902
2009	36	8	R186902
2003	19	8	R186903
2003	23	9	R186903
2002	22	9	R186905
2002	14	14	R186907
2002	10	9	R186908
2007	9	3	R186908
2009	19	9	R186908
2002	25	6	R186909
2003	25	7	R186909
2002	22	9	R186910
2008	16	10	R186910
2004	20	11	R186911
2012	13	6	R186912
2002	24	9	R186917
2003	30	9	R186917
2012	12	8	R186917
2002	24	9	R186918
2003	18	5	R186919
2003	17	6	R186923
2005	23	7	R186923
2007	11	12	R186923
2015	17	NA	R186923
2005	17	10	R186927
2003	21	8	R186962
2011	12	11	R186962
2003	41	6	R186971
2003	18	6	R186971
2009	7	10	R186971
2002	18	11	R187000
2016	22	NA	R187000
2002	9	10	R187001
2009	10	13	R187020
2002	6	12	R187030
2009	8	11	R187041
2004	16	12	R187046
2005	17	11	R187046
2006	22	8	R187046
2007	10	13	R187046
2003	20	9	R187053
2003	25	5	R187062
2010	20	12	R187067
2002	7	13	R187086
2003	21	8	R187104
2003	22	8	R187148
2004	17	9	R187148
2012	15	10	R187148
2004	15	10	R187155
2005	29	8	R187155
2009	10	14	R187155
2010	28	8	R187155
2003	19	9	R187162
2004	18	8	R187162
2005	14	10	R187162
2006	21	9	R187162
2007	12	10	R187162
2008	13	13	R187162
2009	10	14	R187162
2007	15	10	R187166
2003	28	6	R187168
2005	13	13	R187168
2011	13	10	R187168
2003	23	8	R187203
2012	11	11	R187203
2003	25	4	R187205
2004	21	10	R187221
2003	18	12	R187231
2004	26	9	R187231
2005	17	11	R187231
2013	29	9	R187231
2005	19	10	R187236
2002	10	12	R187239
2003	22	10	R187239
2002	9	12	R187274
2003	19	9	R187274
2004	17	8	R187274
2005	15	9	R187274
2006	20	9	R187274
2007	15	10	R187274
2008	8	10	R187274
2008	24	8	R187274
2015	19	NA	R187274
2003	33	7	R187333
2004	25	9	R187333
2005	13	11	R187333
2003	27	7	R187371
2004	21	11	R187371
2005	23	10	R187371
2003	19	9	R187377
2005	31	5	R187377
2005	8	11	R187377
2003	17	10	R187381
2003	19	8	R187381
2003	5	11	R187398
2002	7	13	R187399
2007	25	8	R187399
2002	9	10	R187400
2015	17	NA	R187400
2008	13	12	R187402
2003	18	10	R187404
2007	17	13	R187404
2004	19	9	R187455
2011	10	11	R187455
2003	22	10	R187478
2013	31	8	R187479
2003	27	6	R187493
2004	25	10	R187500
2006	18	11	R187513
2013	37	6	R187513
2003	18	9	R187515
2016	19	NA	R187515
2002	8	9	R187516
2003	16	8	R187516
2003	16	13	R187517
2010	18	11	R187517
2017	8	NA	R187517
2003	17	10	R187518
2004	26	7	R187518
2004	18	10	R187518
2005	12	11	R187518
2006	23	11	R187518
2006	26	9	R187521
2017	7	NA	R187523
2002	8	9	R187524
2004	24	8	R187524
2004	16	10	R187524
2017	6	10	R187524
2002	4	9	R187527
2005	13	12	R187527
2005	25	8	R187527
2011	13	8	R187527
2015	15	NA	R187527
2002	7	10	R187528
2002	7	11	R187531
2003	18	8	R187531
2003	17	9	R187531
2013	34	7	R187531
2005	15	9	R187537
2006	32	11	R187537
2008	16	11	R187539
2002	11	10	R187541
2003	27	8	R187541
2004	25	6	R187541
2002	9	10	R187545
2011	15	11	R187546
2005	15	7	R187547
2013	31	NA	R187548
2002	6	11	R187552
2004	27	8	R187552
2013	35	NA	R187552
2012	4	9	R187553
2008	15	10	R187557
2008	18	12	R187557
2002	9	12	R187559
2005	27	9	R187559
2005	9	5	R187559
2008	19	10	R187559
2007	19	8	R187563
2002	12	9	R187568
2002	7	12	R187568
2015	20	NA	R187569
2002	11	7	R187571
2002	14	7	R187573
2003	21	6	R187573
2004	18	7	R187573
2012	11	11	R187573
2015	12	NA	R187573
2002	11	9	R187575
2003	18	8	R187575
2005	15	11	R187575
2002	11	8	R187577
2011	13	12	R187577
2008	19	9	R187579
2002	11	10	R187582
2005	15	12	R187588
2002	13	10	R187590
2002	9	11	R187592
2002	13	11	R187594
2003	30	8	R187594
2010	37	7	R187594
2003	28	8	R187595
2002	13	11	R187598
2003	15	12	R187598
2004	19	14	R187598
2012	1	13	R187598
2017	5	11	R187598
2003	19	9	R187634
2004	22	8	R187634
2002	13	7	R187637
2012	11	9	R187650
2005	23	8	R187686
2008	26	8	R187686
2004	19	9	R187722
2005	19	10	R187722
2006	24	6	R187722
2003	34	1	R187770
2003	26	6	R187778
2012	3	12	R187778
2003	29	7	R187782
2004	26	8	R187782
2008	25	9	R187782
2012	7	12	R187782
2017	4	NA	R187824
2002	24	12	R187903
2002	12	11	R187914
2003	21	9	R187914
2004	25	9	R187914
2002	11	10	R187916
2007	16	NA	R187916
2002	3	12	R187920
2002	17	8	R187925
2002	11	21	R187926
2003	25	10	R187926
2004	19	11	R187926
2002	17	9	R187930
2003	20	9	R187930
2016	18	NA	R187930
2002	12	13	R187931
2003	21	10	R187931
2011	12	9	R187931
2002	13	12	R187932
2003	25	10	R187932
2002	11	10	R187936
2004	27	8	R187937
2005	21	10	R187940
2002	14	11	R187942
2003	20	8	R187942
2002	16	10	R187944
2003	20	8	R187944
2012	4	10	R187944
2015	20	NA	R187944
2002	13	11	R187945
2004	29	8	R187947
2012	20	8	R187947
2013	27	10	R187947
2002	19	9	R187948
2012	30	5	R187948
2011	9	12	R187951
2002	13	8	R187953
2015	25	NA	R187953
2002	13	10	R187955
2002	19	9	R187957
2003	23	7	R187957
2004	26	7	R187957
2002	19	10	R187961
2005	28	9	R187961
2010	24	11	R187961
2016	17	6	R187961
2017	7	NA	R187961
2002	6	8	R187963
2004	22	9	R187963
2011	8	11	R187963
2012	4	12	R187963
2005	16	10	R187964
2006	25	10	R187964
2002	20	8	R187999
2003	29	7	R187999
2002	20	8	R188000
2013	40	NA	R188000
2003	19	8	R218909
2005	15	12	R218910
2010	14	12	R218910
2003	20	6	R218953
2004	19	9	R218953
2005	7	13	R218953
2005	20	10	R218953
2006	21	11	R218953
2006	23	8	R218953
2006	23	9	R218953
2007	12	8	R218953
2008	22	8	R218953
2003	26	8	R218957
2004	30	9	R218957
2004	29	6	R218960
2004	20	11	R218960
2005	26	9	R218960
2015	15	NA	R218960
2003	26	6	R218962
2005	25	8	R218962
2005	15	8	R218969
2004	30	6	R218979
2013	36	9	R218979
2012	1	12	R218990
2003	23	8	R446002
2004	20	9	R446002
2011	21	9	R446002
2004	27	8	R446015
2005	20	11	R446015
2005	6	12	R446072
2011	12	9	R446072
2003	27	8	R446078
2005	17	9	R446078
2006	24	10	R446078
2007	14	10	R446078
2004	17	11	R446109
2003	40	6	R446119
2004	16	10	R446119
2005	25	9	R446119
2007	18	9	R446119
2010	19	7	R446119
2017	11	9	R446119
2003	22	8	R446123
2004	21	10	R446123
2005	15	11	R446123
2007	13	11	R446123
2012	15	9	R446123
2016	19	8	R446123
2015	14	NA	R446144
2017	9	6	R446162
2004	20	11	R446174
2004	21	11	R446175
2016	24	8	R446179
2002	7	10	R446185
2003	18	10	R446185
2003	17	9	R446185
2004	18	9	R446185
2005	13	8	R446185
2007	17	8	R446185
2007	15	9	R446185
2007	10	9	R446185
2007	15	9	R446185
2008	18	10	R446185
2013	32	10	R446185
2003	26	9	R446234
2011	15	12	R446234
2004	28	9	R446235
2012	28	8	R446235
2011	9	10	R446248
2003	30	7	R446268
2013	33	9	R446268
2003	25	7	R446275
2004	26	8	R446275
2003	22	8	R446296
2006	26	7	R446296
2004	22	10	R446393
2005	13	12	R446393
2006	20	10	R446393
2002	13	9	R446396
2004	26	13	R446396
2010	16	13	R446397
2003	29	8	R446398
2004	28	12	R446398
2005	28	6	R446398
2006	27	7	R446398
2003	33	11	R446501
2004	16	8	R446501
2005	16	9	R446501
2007	9	10	R446501
2007	9	11	R446502
2003	20	8	R446503
2004	27	8	R446504
2006	22	11	R446504
2006	27	7	R446504
2003	19	9	R446505
2003	21	7	R446506
